,Wavelength (nm)
1653,573.658
1654,573.893
1655,574.128
1656,574.364
1657,574.599
1658,574.834
1659,575.069
1660,575.304
1661,575.539
1662,575.774
1663,576.009
1664,576.244
1665,576.479
1666,576.714
1667,576.949
1668,577.184
1669,577.418
1670,577.653
1671,577.888
1672,578.123
1673,578.358
1674,578.592
1675,578.827
1676,579.062
1677,579.297
1678,579.531
1679,579.766
1680,580.001
1681,580.235
1682,580.47
1683,580.704
1684,580.939
1685,581.173
1686,581.408
1687,581.642
1688,581.877
1689,582.111
1690,582.346
1691,582.58
1692,582.814
1693,583.049
1694,583.283
1695,583.517
1696,583.752
1697,583.986
1698,584.22
1699,584.454
1700,584.689
1701,584.923
1702,585.157
1703,585.391
1704,585.625
1705,585.859
1706,586.093
1707,586.327
1708,586.561
1709,586.795
1710,587.029
1711,587.263
1712,587.497
1713,587.731
1714,587.965
1715,588.199
1716,588.433
1717,588.667
1718,588.901
1719,589.134
1720,589.368
1721,589.602
1722,589.836
1723,590.069
1724,590.303
1725,590.537
1726,590.77
1727,591.004
1728,591.237
1729,591.471
1730,591.705
1731,591.938
1732,592.172
1733,592.405
1734,592.639
1735,592.872
1736,593.105
1737,593.339
1738,593.572
1739,593.806
1740,594.039
1741,594.272
1742,594.506
1743,594.739
1744,594.972
1745,595.205
1746,595.438
1747,595.672
1748,595.905
1749,596.138
1750,596.371
1751,596.604
1752,596.837
1753,597.07
1754,597.303
1755,597.536
1756,597.769
1757,598.002
1758,598.235
1759,598.468
1760,598.701
1761,598.934
1762,599.167
1763,599.4
1764,599.632
1765,599.865
1766,600.098
1767,600.331
1768,600.563
1769,600.796
1770,601.029
1771,601.261
1772,601.494
1773,601.727
1774,601.959
1775,602.192
1776,602.424
1777,602.657
1778,602.889
1779,603.122
1780,603.354
1781,603.587
1782,603.819
1783,604.051
1784,604.284
1785,604.516
1786,604.748
1787,604.981
1788,605.213
1789,605.445
1790,605.677
1791,605.91
1792,606.142
1793,606.374
1794,606.606
1795,606.838
1796,607.07
1797,607.302
1798,607.534
1799,607.767
1800,607.999
1801,608.23
1802,608.462
1803,608.694
1804,608.926
1805,609.158
1806,609.39
1807,609.622
1808,609.854
1809,610.086
1810,610.317
1811,610.549
1812,610.781
1813,611.012
1814,611.244
1815,611.476
1816,611.707
1817,611.939
1818,612.171
1819,612.402
1820,612.634
1821,612.865
1822,613.097
1823,613.328
1824,613.56
1825,613.791
1826,614.023
1827,614.254
1828,614.485
